Date,Satellite Latitude,Satellite Longitude,Satellite NO2,Ground Latitude,Ground Longitude,Station Name,City,Ground NO2,Ground PM2.5,Ground PM10,Ground NO,Ground SO2,Ground CO,NDVI,Population Density,Distance (km)
01-06-2024,8.532394,76.9276,9.67572e-06,8.5241,76.9366,Plammoodu  Thiruvananthapuram - Kerala PCB ,Thiruvananthapuram,7.35,8.27,24.01,7.63,7.75,0.41,0.19452344,6,1.3502866050768352
01-06-2024,8.891705,76.594734,2.5384343e-05,8.8833,76.614,Polayathode  Kollam - Kerala PCB ,Kollam,6.63,33.93,56.43,2.29,2.87,0.32,0.18286623,6,2.314031787726905
01-06-2024,10.089367,76.36081,2.5322235e-05,10.0885,76.3593,Udyogamandal  Eloor - Kerala PCB ,Eloor,3.3,16.71,31.94,1.95,3.34,1.27,0.19370125,6,0.1912850087340024
01-06-2024,11.27063,79.05667,2.3075327e-05,11.2614,79.0771,Keelapalur  Ariyalur - TNPCB ,Ariyalur,5.61,20.19,55.65,246.15,27.58,,0.12317198,5,2.4532694611407626
01-06-2024,11.736526,79.73725,1.5045369e-05,11.75,79.75,Semmandalam  Cuddalore - TNPCB ,Cuddalore,4.45,27.94,34.95,1.0,,,0.2451781,6,2.0379284471792283
01-06-2024,11.746735,79.772896,1.0896542e-05,11.7509,79.7687,Kudikadu  Cuddalore - TNPCB ,Cuddalore,0.75,25.56,52.33,0.06,8.35,,0.048975512,6,0.6492046713511016
01-06-2024,12.52484,77.353165,9.14998e-06,12.5356,77.3311,Vijay Nagar  Ramanagara - KSPCB ,Ramanagara,12.45,21.57,32.25,5.09,22.9,0.46,0.21601424,4,2.677308599355176
01-06-2024,12.777267,77.628975,2.9474024e-05,12.7829,77.6476,Jigani  Bengaluru - KSPCB ,Bengaluru,20.72,24.12,85.29,6.18,6.52,0.9,0.1968049,6,2.116131031756632
01-06-2024,12.791725,77.67256,2.4318611e-05,12.7829,77.6476,Jigani  Bengaluru - KSPCB ,Bengaluru,20.72,24.12,85.29,6.18,6.52,0.9,0.18002813,6,2.880558986758719
01-06-2024,12.9246855,77.59212,2.5559726e-05,12.9269,77.5854,Jayanagar 5th Block  Bengaluru - KSPCB ,Bengaluru,10.25,26.87,54.29,1.21,11.44,0.43,0.103152394,6,0.7692864106405238
